Item_Description;Amount;Traffic_Source;Session_Duration
Google Hoodie;124;Organic Search;534
Google Hoodie;124;Referral;2488
Google Stickers;5;Direct;635
Google Hoodie;124;Social Media;1234
Puffer Vest;115;Paid Search;1912
Google Stickers;5;Paid Search;1401
Greeting Cards;6;Paid Search;912
Google Stickers;5;Organic Search;810
Notebook;20;Direct;1612
Lanyard;6;Paid Search;1902
Google Stickers;5;Paid Search;2151
Google Water Bottle;10;Paid Search;1139
Google Stickers;5;Direct;44
Google Stickers;5;Organic Search;2709
Google Stickers;5;Direct;937
Google Stickers;5;Organic Search;1977
Google Stickers;5;Social Media;2049
Google Stickers;5;Social Media;1028
Notebook;20;Direct;1372
Notebook;20;Social Media;3364
YouTube Cap;15;Organic Search;1168
Google Stickers;5;Organic Search;41
Puffer Vest;115;Social Media;1084
Google Stickers;5;Paid Search;2796
Lanyard;6;Social Media;2511
YouTube Cap;15;Social Media;45
Google Stickers;5;Paid Search;944
Google Stickers;5;Referral;1748
Puffer Vest;115;Organic Search;1813
Greeting Cards;6;Social Media;3114
Android T-Shirt;20;Paid Search;1032
Google Water Bottle;10;Organic Search;2167
Puffer Vest;115;Social Media;1595
Google Stickers;5;Organic Search;3421
Google Stickers;5;Organic Search;299
Lanyard;6;Organic Search;3049
Puffer Vest;115;Referral;3485
Google Stickers;5;Paid Search;1923
Google Stickers;5;Referral;1871
Google Stickers;5;Organic Search;80
YouTube Cap;15;Referral;356
Android T-Shirt;20;Organic Search;1978
Google Stickers;5;Organic Search;3083
Google Stickers;5;Direct;392
Google Water Bottle;10;Direct;1719
Greeting Cards;6;Social Media;886
Google Stickers;5;Direct;2625
Backpack;125;Organic Search;794
Google Water Bottle;10;Referral;2891
Puffer Vest;115;Organic Search;1804
Google Stickers;5;Referral;1528
Google Stickers;5;Direct;1272
Greeting Cards;6;Social Media;2714
Google Stickers;5;Referral;1621
Notebook;20;Organic Search;735
Google Water Bottle;10;Referral;2142
Canvas Tote;18;Direct;1907
Google Stickers;5;Referral;2406
Lanyard;6;Referral;2262
Google Stickers;5;Organic Search;277
Canvas Tote;18;Referral;558
Google Stickers;5;Referral;746
Greeting Cards;6;Paid Search;1147
Backpack;125;Referral;2179
Google Stickers;5;Organic Search;584
Google Water Bottle;10;Organic Search;418
Lanyard;6;Paid Search;163
Backpack;125;Direct;2140
Google Stickers;5;Social Media;348
Backpack;125;Direct;292
Google Stickers;5;Direct;2675
Lanyard;6;Direct;3208
Greeting Cards;6;Direct;3317
Canvas Tote;18;Referral;3056
Canvas Tote;18;Direct;2003
YouTube Cap;15;Paid Search;1927
Backpack;125;Direct;3299
Greeting Cards;6;Paid Search;1389
Canvas Tote;18;Organic Search;64
Google Stickers;5;Direct;785
Google Stickers;5;Social Media;1944
Canvas Tote;18;Organic Search;2791
Google Water Bottle;10;Direct;3508
Google Hoodie;124;Direct;2828
Google Hoodie;124;Referral;2657
Backpack;125;Referral;593
Notebook;20;Referral;2329
Google Stickers;5;Direct;449
Google Hoodie;124;Organic Search;1821
Google Hoodie;124;Direct;507
Backpack;125;Paid Search;2184
Android T-Shirt;20;Organic Search;3001
Google Water Bottle;10;Paid Search;1408
Greeting Cards;6;Paid Search;597
Backpack;125;Paid Search;201
Puffer Vest;115;Paid Search;1006
Google Water Bottle;10;Referral;327
Notebook;20;Referral;2307
Google Stickers;5;Direct;2041
Google Stickers;5;Direct;2507
Android T-Shirt;20;Referral;95
Puffer Vest;115;Social Media;2250
Canvas Tote;18;Direct;856
Google Stickers;5;Organic Search;2153
Google Stickers;5;Paid Search;3496
Notebook;20;Referral;2100
Canvas Tote;18;Organic Search;2610
Google Hoodie;124;Direct;710
Google Water Bottle;10;Social Media;3557
Backpack;125;Social Media;317
Lanyard;6;Paid Search;2010
YouTube Cap;15;Organic Search;163
Canvas Tote;18;Direct;2188
Google Stickers;5;Organic Search;1345
Google Stickers;5;Social Media;313
Android T-Shirt;20;Paid Search;644
Backpack;125;Paid Search;2274
Backpack;125;Referral;1678
Google Hoodie;124;Paid Search;3026
Google Stickers;5;Organic Search;1153
Greeting Cards;6;Social Media;2976
Google Stickers;5;Organic Search;102
Google Stickers;5;Social Media;2109
Google Stickers;5;Paid Search;1546
Puffer Vest;115;Social Media;2211
Notebook;20;Paid Search;903
Google Stickers;5;Organic Search;2749
Google Hoodie;124;Direct;1006
Greeting Cards;6;Organic Search;1373
Google Stickers;5;Social Media;3189
Canvas Tote;18;Paid Search;332
Android T-Shirt;20;Referral;1104
Google Stickers;5;Referral;3457
Google Hoodie;124;Organic Search;622
Greeting Cards;6;Paid Search;1379
Android T-Shirt;20;Paid Search;2922
Google Stickers;5;Social Media;463
Android T-Shirt;20;Direct;3227
YouTube Cap;15;Social Media;1040
Android T-Shirt;20;Direct;469
Android T-Shirt;20;Organic Search;165
Google Stickers;5;Referral;3563
Google Stickers;5;Direct;2354
Lanyard;6;Referral;1092
Google Stickers;5;Paid Search;2426
Google Hoodie;124;Paid Search;1523
Google Stickers;5;Social Media;294
Android T-Shirt;20;Direct;2583
Lanyard;6;Social Media;1528
Google Stickers;5;Paid Search;1427
Google Stickers;5;Direct;2924
Google Stickers;5;Paid Search;2794
Puffer Vest;115;Direct;3593
Google Stickers;5;Direct;1732
YouTube Cap;15;Organic Search;2072
Google Hoodie;124;Organic Search;1727
Puffer Vest;115;Direct;697
Google Stickers;5;Organic Search;487
Greeting Cards;6;Referral;37
Android T-Shirt;20;Paid Search;1508
Google Hoodie;124;Paid Search;3581
Google Hoodie;124;Paid Search;2984
Notebook;20;Social Media;2511
Google Water Bottle;10;Direct;238
Notebook;20;Paid Search;2171
Lanyard;6;Direct;1599
Lanyard;6;Paid Search;2612
Google Stickers;5;Organic Search;2589
Canvas Tote;18;Social Media;1840
Google Stickers;5;Referral;3471
Google Stickers;5;Paid Search;927
Google Stickers;5;Social Media;3000
Google Stickers;5;Organic Search;2820
Canvas Tote;18;Organic Search;3122
Backpack;125;Paid Search;1263
Google Stickers;5;Social Media;2828
Canvas Tote;18;Referral;1415
Google Stickers;5;Social Media;912
Google Stickers;5;Paid Search;534
Notebook;20;Social Media;573
Android T-Shirt;20;Organic Search;2607
Greeting Cards;6;Organic Search;2922
Puffer Vest;115;Organic Search;1457
YouTube Cap;15;Organic Search;494
Greeting Cards;6;Direct;2973
Google Stickers;5;Direct;2603
Puffer Vest;115;Organic Search;2387
Greeting Cards;6;Direct;1260
Android T-Shirt;20;Organic Search;3215
Puffer Vest;115;Referral;3009
Google Stickers;5;Paid Search;1047
YouTube Cap;15;Paid Search;3521
Google Stickers;5;Paid Search;626
Notebook;20;Organic Search;2577
Google Stickers;5;Paid Search;2859
Google Hoodie;124;Paid Search;3413
Notebook;20;Social Media;1719
Notebook;20;Direct;1155
Google Hoodie;124;Paid Search;497
Google Stickers;5;Direct;741
Google Stickers;5;Referral;669
Google Stickers;5;Organic Search;1705
Google Stickers;5;Social Media;2375
Google Stickers;5;Social Media;1866
Notebook;20;Direct;1516
Google Stickers;5;Referral;2808
Google Hoodie;124;Organic Search;850
Notebook;20;Direct;302
Google Hoodie;124;Social Media;2426
Android T-Shirt;20;Direct;1502
Android T-Shirt;20;Organic Search;2425
Google Stickers;5;Referral;585
Puffer Vest;115;Social Media;963
Notebook;20;Paid Search;2771
Canvas Tote;18;Referral;1349
Google Stickers;5;Paid Search;3336
Google Water Bottle;10;Organic Search;2452
Canvas Tote;18;Organic Search;2188
Puffer Vest;115;Paid Search;1721
Google Stickers;5;Organic Search;2944
Google Stickers;5;Organic Search;1276
Backpack;125;Direct;3227
Google Water Bottle;10;Direct;1141
Google Stickers;5;Referral;1137
Lanyard;6;Referral;867
Google Stickers;5;Paid Search;1008
Google Stickers;5;Referral;1787
Google Hoodie;124;Referral;794
Backpack;125;Social Media;1698
Google Water Bottle;10;Organic Search;1210
Canvas Tote;18;Direct;3012
Google Water Bottle;10;Referral;2781
Android T-Shirt;20;Social Media;2433
Google Stickers;5;Referral;3131
Google Stickers;5;Social Media;1978
Google Stickers;5;Direct;1906
Notebook;20;Organic Search;358
Puffer Vest;115;Paid Search;1598
Greeting Cards;6;Social Media;739
YouTube Cap;15;Referral;2015
Google Stickers;5;Social Media;1261
Google Stickers;5;Organic Search;3009
Notebook;20;Paid Search;612
Google Stickers;5;Paid Search;1086
Google Hoodie;124;Paid Search;2974
Canvas Tote;18;Organic Search;1731
Google Hoodie;124;Referral;3428
Google Hoodie;124;Social Media;2373
Notebook;20;Direct;2176
Google Stickers;5;Organic Search;3426
Canvas Tote;18;Paid Search;1839
Google Water Bottle;10;Organic Search;83
Lanyard;6;Organic Search;3118
Google Hoodie;124;Referral;1639
Google Stickers;5;Social Media;3274
Google Water Bottle;10;Referral;926
Android T-Shirt;20;Social Media;1441
Google Water Bottle;10;Direct;3521
Puffer Vest;115;Direct;2247
Google Stickers;5;Organic Search;1789
Google Stickers;5;Social Media;2753
Backpack;125;Social Media;1099
Canvas Tote;18;Referral;753
Google Stickers;5;Referral;1648
Notebook;20;Paid Search;1839
Google Stickers;5;Social Media;1625
Greeting Cards;6;Paid Search;2561
Lanyard;6;Social Media;2503
Google Stickers;5;Social Media;2594
Lanyard;6;Social Media;585
Google Stickers;5;Paid Search;2834
Canvas Tote;18;Direct;3334
Google Stickers;5;Direct;926
Notebook;20;Social Media;612
Lanyard;6;Social Media;238
Google Stickers;5;Social Media;783
Google Hoodie;124;Organic Search;3121
Lanyard;6;Social Media;3557
Backpack;125;Referral;2189
Google Stickers;5;Organic Search;422
Google Stickers;5;Direct;1311
Google Stickers;5;Direct;3590
Google Stickers;5;Referral;2974
Google Hoodie;124;Direct;2322
Google Stickers;5;Social Media;1037
Google Stickers;5;Social Media;1344
Google Water Bottle;10;Organic Search;2749
Google Hoodie;124;Paid Search;2456
Google Stickers;5;Paid Search;3439
Canvas Tote;18;Referral;1560
Android T-Shirt;20;Social Media;1144
Android T-Shirt;20;Direct;1900
Greeting Cards;6;Referral;1873
Google Stickers;5;Direct;2823
Canvas Tote;18;Referral;612
Google Stickers;5;Organic Search;2678
Google Stickers;5;Social Media;1367
Google Stickers;5;Organic Search;2211
Google Stickers;5;Referral;3311
Puffer Vest;115;Referral;1456
Google Water Bottle;10;Paid Search;812
Google Stickers;5;Organic Search;2219
Google Hoodie;124;Social Media;915
Backpack;125;Referral;1857
Google Water Bottle;10;Organic Search;865
YouTube Cap;15;Organic Search;2559
Google Stickers;5;Referral;181
Puffer Vest;115;Paid Search;1415
Google Hoodie;124;Paid Search;333
Google Stickers;5;Organic Search;469
Google Stickers;5;Paid Search;2377
Lanyard;6;Paid Search;878
YouTube Cap;15;Referral;3115
Notebook;20;Organic Search;1159
Google Stickers;5;Direct;3001
YouTube Cap;15;Direct;2301
Greeting Cards;6;Paid Search;1678
Notebook;20;Referral;746
Puffer Vest;115;Paid Search;1486
Google Stickers;5;Referral;2794
Notebook;20;Organic Search;3089
Google Stickers;5;Organic Search;3353
Android T-Shirt;20;Paid Search;2630
Canvas Tote;18;Referral;3561
Notebook;20;Organic Search;2984
Notebook;20;Paid Search;45
Notebook;20;Referral;3269
Backpack;125;Direct;1836
Lanyard;6;Social Media;1239
YouTube Cap;15;Organic Search;1071
Google Water Bottle;10;Paid Search;3028
Google Stickers;5;Referral;1964
Google Stickers;5;Social Media;72
Canvas Tote;18;Referral;2941
Greeting Cards;6;Direct;2006
Google Stickers;5;Social Media;1438
Notebook;20;Social Media;1597
Google Stickers;5;Social Media;2922
Google Water Bottle;10;Organic Search;2179
YouTube Cap;15;Organic Search;694
Puffer Vest;115;Paid Search;1309
Google Hoodie;124;Referral;3158
Lanyard;6;Social Media;2092
Google Hoodie;124;Paid Search;620
Google Stickers;5;Referral;1396
Google Stickers;5;Referral;512
Google Stickers;5;Organic Search;20
Backpack;125;Organic Search;2859
Notebook;20;Paid Search;2406
Google Hoodie;124;Referral;2491
Google Stickers;5;Referral;537
Greeting Cards;6;Direct;505
Lanyard;6;Direct;2956
Notebook;20;Referral;2402
Greeting Cards;6;Organic Search;1493
Google Water Bottle;10;Social Media;2013
Canvas Tote;18;Referral;2092
Google Stickers;5;Social Media;2130
Backpack;125;Referral;342
Google Stickers;5;Paid Search;2141
Notebook;20;Direct;1346
Google Stickers;5;Direct;1256
Google Stickers;5;Organic Search;2247
Lanyard;6;Paid Search;3042
YouTube Cap;15;Organic Search;1074
Google Stickers;5;Direct;3027
Puffer Vest;115;Referral;3068
Greeting Cards;6;Paid Search;1047
Google Hoodie;124;Direct;2890
Google Stickers;5;Direct;1824
Greeting Cards;6;Social Media;73
Google Stickers;5;Paid Search;1461
Puffer Vest;115;Social Media;1004
Google Hoodie;124;Direct;3293
Google Stickers;5;Direct;2661
Backpack;125;Paid Search;3416
YouTube Cap;15;Paid Search;3197
Google Hoodie;124;Referral;1640
Greeting Cards;6;Organic Search;221
Google Stickers;5;Referral;2252
Lanyard;6;Social Media;3140
Google Water Bottle;10;Paid Search;2190
Lanyard;6;Paid Search;238
Lanyard;6;Direct;2933
Notebook;20;Paid Search;1654
Google Hoodie;124;Paid Search;1423
Notebook;20;Organic Search;1267
Android T-Shirt;20;Paid Search;573
Lanyard;6;Direct;3273
Lanyard;6;Referral;2696
Google Stickers;5;Social Media;1471
Greeting Cards;6;Direct;2602
Google Hoodie;124;Organic Search;1584
Google Stickers;5;Paid Search;2778
Google Stickers;5;Organic Search;1248
Google Stickers;5;Paid Search;1436
Canvas Tote;18;Paid Search;402
Google Stickers;5;Social Media;3166
Google Stickers;5;Social Media;790
Puffer Vest;115;Social Media;677
Google Hoodie;124;Direct;2399
Google Hoodie;124;Organic Search;1629
Google Stickers;5;Referral;227
Google Stickers;5;Referral;1095
Google Hoodie;124;Referral;67
Google Stickers;5;Direct;942
Android T-Shirt;20;Organic Search;755
Notebook;20;Social Media;3237
Android T-Shirt;20;Paid Search;1943
Backpack;125;Social Media;1456
Google Hoodie;124;Organic Search;2669
Backpack;125;Referral;2786
Google Stickers;5;Paid Search;3189
Lanyard;6;Social Media;3274
Google Stickers;5;Organic Search;808
Google Stickers;5;Social Media;2924
Google Stickers;5;Paid Search;878
Canvas Tote;18;Direct;3525
Notebook;20;Direct;478
Puffer Vest;115;Organic Search;2714
Google Water Bottle;10;Direct;3107
Google Water Bottle;10;Direct;1614
Puffer Vest;115;Paid Search;3153
Google Water Bottle;10;Direct;129
Backpack;125;Direct;3426
Backpack;125;Social Media;2216
Google Stickers;5;Paid Search;3306
Backpack;125;Organic Search;971
Lanyard;6;Paid Search;1939
Lanyard;6;Paid Search;1968
Google Hoodie;124;Referral;2608
Greeting Cards;6;Organic Search;1395
Puffer Vest;115;Organic Search;1574
Notebook;20;Direct;1944
Google Stickers;5;Organic Search;2003
Google Stickers;5;Social Media;1588
Android T-Shirt;20;Referral;1099
Notebook;20;Social Media;2679
Google Hoodie;124;Direct;2437
Google Stickers;5;Referral;341
Canvas Tote;18;Direct;1059
Google Stickers;5;Organic Search;1540
Android T-Shirt;20;Referral;403
Android T-Shirt;20;Referral;2221
Google Stickers;5;Organic Search;481
Google Hoodie;124;Paid Search;3365
Google Stickers;5;Organic Search;2014
Puffer Vest;115;Paid Search;985
Android T-Shirt;20;Direct;176
Canvas Tote;18;Paid Search;262
Greeting Cards;6;Direct;2680
Android T-Shirt;20;Paid Search;18
Google Hoodie;124;Social Media;1745
Google Hoodie;124;Direct;728
Google Hoodie;124;Paid Search;3275
Canvas Tote;18;Social Media;1366
Google Hoodie;124;Referral;2298
Greeting Cards;6;Paid Search;3305
Google Stickers;5;Social Media;3057
Google Stickers;5;Organic Search;639
Google Stickers;5;Direct;2973
YouTube Cap;15;Organic Search;3117
YouTube Cap;15;Organic Search;405
Google Stickers;5;Social Media;3057
Puffer Vest;115;Organic Search;1339
Google Hoodie;124;Social Media;2719
Google Stickers;5;Referral;905
Puffer Vest;115;Organic Search;2221
Greeting Cards;6;Referral;543
Google Stickers;5;Social Media;3056
Google Stickers;5;Referral;2308
Notebook;20;Paid Search;1267
Notebook;20;Organic Search;1889
YouTube Cap;15;Referral;710
Google Stickers;5;Social Media;810
Google Stickers;5;Referral;2247
Google Stickers;5;Direct;1647
Greeting Cards;6;Paid Search;2630
Google Stickers;5;Direct;718
Notebook;20;Referral;1794
Notebook;20;Referral;3481
YouTube Cap;15;Direct;3239
Backpack;125;Direct;1673
Backpack;125;Direct;2694
Google Stickers;5;Direct;887
Google Stickers;5;Referral;3348
Google Stickers;5;Social Media;1191
Google Stickers;5;Direct;179
Google Hoodie;124;Direct;524
Google Stickers;5;Direct;2261
Google Water Bottle;10;Organic Search;1066
Android T-Shirt;20;Direct;702
Google Stickers;5;Referral;2799
Google Stickers;5;Paid Search;713
Greeting Cards;6;Paid Search;3033
Lanyard;6;Organic Search;2560
Google Stickers;5;Referral;2531
Google Stickers;5;Referral;185
Notebook;20;Social Media;2013
Google Stickers;5;Referral;1835
Google Stickers;5;Paid Search;1885
Backpack;125;Paid Search;1092
Notebook;20;Paid Search;856
Canvas Tote;18;Referral;3131
Google Hoodie;124;Social Media;1797
Google Stickers;5;Paid Search;802
YouTube Cap;15;Social Media;2984
Google Hoodie;124;Direct;1388
Google Water Bottle;10;Paid Search;2270
Google Hoodie;124;Social Media;851
Google Stickers;5;Organic Search;2851
Google Stickers;5;Paid Search;2395
Android T-Shirt;20;Organic Search;1168
Google Stickers;5;Direct;183
Lanyard;6;Organic Search;3051
Google Stickers;5;Direct;1514
Lanyard;6;Referral;1400
Google Hoodie;124;Organic Search;1819
Backpack;125;Direct;2591
Google Hoodie;124;Organic Search;2471
Canvas Tote;18;Paid Search;3056
Google Stickers;5;Paid Search;1267
Google Water Bottle;10;Referral;458
Google Stickers;5;Paid Search;539
Greeting Cards;6;Referral;3156
Notebook;20;Paid Search;177
Google Hoodie;124;Paid Search;827
Google Stickers;5;Paid Search;2395
Google Stickers;5;Paid Search;83
Google Stickers;5;Social Media;2092
Puffer Vest;115;Organic Search;2067
Greeting Cards;6;Paid Search;227
Android T-Shirt;20;Organic Search;2136
Google Stickers;5;Organic Search;1
Google Stickers;5;Social Media;65
Puffer Vest;115;Referral;893
Google Hoodie;124;Referral;2255
Google Stickers;5;Paid Search;2973
Canvas Tote;18;Social Media;1682
Google Stickers;5;Referral;3311
Google Stickers;5;Paid Search;1727
Notebook;20;Social Media;140
Google Water Bottle;10;Paid Search;1815
Google Hoodie;124;Social Media;3149
YouTube Cap;15;Organic Search;3108
Android T-Shirt;20;Paid Search;2332
Google Hoodie;124;Organic Search;2340
Google Hoodie;124;Paid Search;2818
Google Hoodie;124;Paid Search;639
Google Hoodie;124;Direct;3457
Google Stickers;5;Paid Search;2462
Google Stickers;5;Paid Search;3227
Puffer Vest;115;Direct;3059
Google Hoodie;124;Organic Search;2510
Notebook;20;Direct;2487
YouTube Cap;15;Organic Search;195
Google Water Bottle;10;Organic Search;2104
Canvas Tote;18;Social Media;46
Google Stickers;5;Referral;721
Google Stickers;5;Social Media;1229
Canvas Tote;18;Paid Search;2206
Google Stickers;5;Direct;1890
Backpack;125;Direct;3242
Google Stickers;5;Direct;2886
Puffer Vest;115;Social Media;76
Google Hoodie;124;Direct;2309
Notebook;20;Organic Search;2120
Lanyard;6;Referral;3352
YouTube Cap;15;Organic Search;1781
Google Stickers;5;Organic Search;657
Notebook;20;Referral;1168
Notebook;20;Direct;3153
Google Hoodie;124;Direct;2977
Google Stickers;5;Organic Search;3439
Google Stickers;5;Organic Search;1974
Google Water Bottle;10;Referral;2886
Google Stickers;5;Direct;3482
Google Water Bottle;10;Social Media;1367
Greeting Cards;6;Direct;1393
Google Water Bottle;10;Direct;916
Google Hoodie;124;Organic Search;250
Google Stickers;5;Referral;1059
YouTube Cap;15;Direct;2247
Greeting Cards;6;Referral;1831
Backpack;125;Organic Search;2780
Google Stickers;5;Social Media;312
Google Water Bottle;10;Social Media;1531
Google Stickers;5;Direct;2651
Backpack;125;Organic Search;3221
Notebook;20;Referral;1599
Google Hoodie;124;Paid Search;1750
Puffer Vest;115;Organic Search;1114
Google Stickers;5;Paid Search;1009
Google Water Bottle;10;Direct;1336
Greeting Cards;6;Social Media;323
Google Stickers;5;Social Media;1886
Backpack;125;Referral;1028
Backpack;125;Organic Search;1158
Canvas Tote;18;Direct;2247
Google Stickers;5;Referral;2602
Notebook;20;Direct;3421
Google Stickers;5;Direct;245
Android T-Shirt;20;Social Media;1901
Google Hoodie;124;Organic Search;2013
Greeting Cards;6;Direct;1194
Google Stickers;5;Paid Search;1149
Backpack;125;Social Media;559
Google Stickers;5;Referral;2308
Google Water Bottle;10;Social Media;2595
Lanyard;6;Direct;3566
Google Hoodie;124;Organic Search;2556
Notebook;20;Direct;503
Canvas Tote;18;Paid Search;2193
Google Hoodie;124;Organic Search;1099
Android T-Shirt;20;Paid Search;2322
Greeting Cards;6;Social Media;3259
YouTube Cap;15;Referral;688
Greeting Cards;6;Direct;1416
Android T-Shirt;20;Organic Search;1577
YouTube Cap;15;Referral;1737
Google Hoodie;124;Organic Search;2962
Google Stickers;5;Referral;192
Google Stickers;5;Direct;1632
Google Hoodie;124;Social Media;1531
Greeting Cards;6;Direct;3416
Puffer Vest;115;Referral;1674
Google Stickers;5;Referral;749
Google Hoodie;124;Social Media;1306
Canvas Tote;18;Direct;2732
Puffer Vest;115;Paid Search;1374
Notebook;20;Social Media;3227
Google Water Bottle;10;Direct;1755
Google Water Bottle;10;Direct;3258
Google Stickers;5;Direct;771
Google Stickers;5;Organic Search;2854
Google Stickers;5;Organic Search;996
Android T-Shirt;20;Referral;992
Google Stickers;5;Referral;2665
Greeting Cards;6;Referral;729
Google Stickers;5;Referral;3244
Canvas Tote;18;Referral;2439
Google Stickers;5;Paid Search;3065
Backpack;125;Paid Search;3453
Greeting Cards;6;Direct;697
Google Stickers;5;Referral;1177
Google Stickers;5;Direct;322
Google Stickers;5;Paid Search;3104
Lanyard;6;Social Media;2521
Greeting Cards;6;Paid Search;873
Notebook;20;Paid Search;242
Android T-Shirt;20;Organic Search;3340
Google Stickers;5;Organic Search;2223
Google Water Bottle;10;Paid Search;1246
Google Stickers;5;Social Media;3333
Google Hoodie;124;Referral;2903
Google Stickers;5;Referral;65
Google Stickers;5;Social Media;196
Google Hoodie;124;Organic Search;2809
Puffer Vest;115;Organic Search;3234
Backpack;125;Direct;2810
Lanyard;6;Paid Search;15
Greeting Cards;6;Referral;1932
Greeting Cards;6;Social Media;1499
Lanyard;6;Paid Search;2933
Google Hoodie;124;Organic Search;3255
Android T-Shirt;20;Referral;2809
Greeting Cards;6;Social Media;2904
Google Hoodie;124;Social Media;2276
Google Stickers;5;Social Media;1420
Google Stickers;5;Referral;3020
Google Hoodie;124;Referral;544
YouTube Cap;15;Paid Search;1785
Puffer Vest;115;Organic Search;977
Notebook;20;Direct;3166
Google Water Bottle;10;Direct;1801
Google Hoodie;124;Direct;923
Google Stickers;5;Organic Search;210
YouTube Cap;15;Paid Search;1099
Google Hoodie;124;Social Media;1210
YouTube Cap;15;Paid Search;420
Greeting Cards;6;Direct;2471
Google Stickers;5;Organic Search;484
YouTube Cap;15;Referral;999
Backpack;125;Social Media;3345
Google Stickers;5;Organic Search;2426
Greeting Cards;6;Paid Search;1088
Greeting Cards;6;Social Media;256
Google Hoodie;124;Paid Search;1577
Google Hoodie;124;Paid Search;3034
YouTube Cap;15;Paid Search;172
Android T-Shirt;20;Social Media;3544
YouTube Cap;15;Referral;317
Notebook;20;Social Media;3204
Backpack;125;Paid Search;1675
Google Stickers;5;Paid Search;1745
Google Stickers;5;Paid Search;1794
Greeting Cards;6;Organic Search;1349
Google Hoodie;124;Referral;981
Canvas Tote;18;Direct;609
Google Stickers;5;Paid Search;2579
Android T-Shirt;20;Paid Search;1427
Lanyard;6;Social Media;2841
Lanyard;6;Paid Search;1177
Notebook;20;Paid Search;1248
Puffer Vest;115;Direct;890
Lanyard;6;Referral;598
Android T-Shirt;20;Referral;2473
Android T-Shirt;20;Organic Search;694
Android T-Shirt;20;Paid Search;2565
Greeting Cards;6;Social Media;3557
Google Stickers;5;Organic Search;3336
Android T-Shirt;20;Organic Search;2536
Notebook;20;Social Media;1836
Google Stickers;5;Social Media;2416
Google Stickers;5;Direct;2456
Greeting Cards;6;Paid Search;929
Google Stickers;5;Paid Search;44
Google Hoodie;124;Paid Search;2085
Google Stickers;5;Organic Search;2444
Canvas Tote;18;Social Media;2409
Notebook;20;Direct;2280
Google Stickers;5;Organic Search;1989
YouTube Cap;15;Paid Search;1017
Google Stickers;5;Referral;2451
Android T-Shirt;20;Referral;1674
Puffer Vest;115;Direct;706
Puffer Vest;115;Paid Search;13
Google Stickers;5;Paid Search;829
YouTube Cap;15;Social Media;2947
Google Stickers;5;Direct;2552
Google Stickers;5;Organic Search;2058
Google Water Bottle;10;Paid Search;1900
Backpack;125;Organic Search;1874
Notebook;20;Referral;2298
Google Stickers;5;Referral;827
Google Hoodie;124;Social Media;2595
Google Hoodie;124;Organic Search;1191
Google Stickers;5;Paid Search;2382
Backpack;125;Referral;1666
Google Water Bottle;10;Direct;2773
Lanyard;6;Organic Search;1102
Google Stickers;5;Paid Search;846
Notebook;20;Paid Search;1234
Google Stickers;5;Paid Search;1978
Google Stickers;5;Organic Search;911
Google Stickers;5;Referral;1359
Puffer Vest;115;Referral;2040
Google Stickers;5;Referral;3261
Google Stickers;5;Direct;1135
Puffer Vest;115;Referral;1334
Notebook;20;Social Media;515
Google Stickers;5;Referral;1175
Google Stickers;5;Direct;3197
Google Hoodie;124;Direct;408
Google Stickers;5;Paid Search;108
Google Hoodie;124;Social Media;575
Notebook;20;Paid Search;1401
Puffer Vest;115;Referral;1750
Google Water Bottle;10;Direct;327
Google Stickers;5;Direct;2724
Google Hoodie;124;Direct;1292
Lanyard;6;Direct;1112
Lanyard;6;Paid Search;227
Backpack;125;Paid Search;2948
Google Hoodie;124;Social Media;294
Lanyard;6;Social Media;2839
Android T-Shirt;20;Organic Search;2469
Android T-Shirt;20;Organic Search;2059
Google Stickers;5;Paid Search;2994
Greeting Cards;6;Organic Search;21
Google Stickers;5;Referral;3340
Google Stickers;5;Direct;3361
Google Stickers;5;Organic Search;1625
Google Stickers;5;Social Media;1320
Google Stickers;5;Paid Search;1706
Google Stickers;5;Paid Search;2709
YouTube Cap;15;Organic Search;3269
Google Water Bottle;10;Referral;2015
Google Stickers;5;Referral;1092
Lanyard;6;Social Media;442
Google Hoodie;124;Direct;2956
Google Stickers;5;Organic Search;3015
Google Stickers;5;Paid Search;2525
Lanyard;6;Organic Search;1373
Google Hoodie;124;Social Media;3519
Notebook;20;Organic Search;2510
Lanyard;6;Paid Search;1248
Google Water Bottle;10;Direct;2890
Android T-Shirt;20;Referral;1789
Lanyard;6;Social Media;2888
Greeting Cards;6;Referral;10
Android T-Shirt;20;Organic Search;475
YouTube Cap;15;Direct;1188
Google Hoodie;124;Direct;190
Google Stickers;5;Referral;2042
Google Stickers;5;Referral;2632
Google Stickers;5;Referral;1639
Backpack;125;Paid Search;2558
Notebook;20;Paid Search;3230
Backpack;125;Paid Search;1825
Google Water Bottle;10;Social Media;3332
Notebook;20;Organic Search;676
Lanyard;6;Referral;1673
Notebook;20;Direct;2184
Google Stickers;5;Organic Search;1287
YouTube Cap;15;Organic Search;3082
Canvas Tote;18;Social Media;3493
Lanyard;6;Social Media;490
Google Hoodie;124;Referral;3243
Google Stickers;5;Organic Search;1063
Android T-Shirt;20;Direct;2785
Google Hoodie;124;Paid Search;287
Google Hoodie;124;Direct;1168
Google Stickers;5;Organic Search;332
Google Stickers;5;Paid Search;641
Notebook;20;Social Media;524
Notebook;20;Social Media;3032
Backpack;125;Paid Search;2511
Google Stickers;5;Organic Search;2134
Lanyard;6;Organic Search;86
Google Stickers;5;Social Media;475
